,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
323,HDFCBANK,Long Closed,2009-09-07,146.01,2010-01-08,171.2,342.0,49933.712,8614.98,17.253,Exit Trigger,123 days
324,HDFCBANK,Long Closed,2010-03-10,181.2,2010-05-27,181.5,275.0,49829.999,82.5,0.166,Exit Trigger,78 days
325,HDFCBANK,Long Closed,2010-06-24,199.71,2010-11-10,240.0,250.0,49926.25,10072.5,20.175,Exit Trigger,139 days
326,HDFCBANK,Long Closed,2011-03-14,217.2,2011-05-24,225.4,230.0,49955.999,1886.0,3.775,Exit Trigger,71 days
327,HDFCBANK,Long Closed,2011-06-14,237.8,2011-08-17,228.02,210.0,49938.001,-2053.8,-4.113,Exit Trigger,64 days
328,HDFCBANK,Long Closed,2011-10-31,241.5,2011-11-25,213.88,207.0,49990.5,-5717.34,-11.437,Exit Trigger,25 days
329,HDFCBANK,Long Closed,2012-01-19,243.0,2012-04-16,264.45,205.0,49815.0,4397.25,8.827,Exit Trigger,88 days
330,HDFCBANK,Long Closed,2012-04-18,266.5,2012-05-23,245.0,187.0,49835.5,-4020.5,-8.068,Exit Trigger,35 days
331,HDFCBANK,Long Closed,2012-06-25,272.7,2013-01-22,329.25,183.0,49904.102,10348.65,20.737,Exit Trigger,211 days
332,HDFCBANK,Long Closed,2013-04-29,344.12,2013-06-21,318.4,145.0,49898.125,-3729.4,-7.474,Exit Trigger,53 days
333,HDFCBANK,Long Closed,2013-09-30,303.0,2014-01-14,334.52,165.0,49995.0,5200.8,10.403,Exit Trigger,106 days
334,HDFCBANK,Long Closed,2014-01-16,342.2,2014-01-29,323.75,146.0,49961.202,-2693.7,-5.392,Exit Trigger,13 days
335,HDFCBANK,Long Closed,2014-03-10,353.25,2014-08-11,400.5,141.0,49808.25,6662.25,13.376,Exit Trigger,154 days
336,HDFCBANK,Long Closed,2014-09-05,426.0,2015-03-31,519.95,117.0,49842.0,10992.15,22.054,Exit Trigger,207 days
337,HDFCBANK,Long Closed,2015-06-09,502.5,2015-08-27,512.5,99.0,49747.5,990.0,1.99,Exit Trigger,79 days
338,HDFCBANK,Long Closed,2015-10-14,534.4,2015-12-02,545.0,93.0,49699.202,985.8,1.984,Exit Trigger,49 days
339,HDFCBANK,Long Closed,2016-01-13,526.0,2016-01-19,513.6,95.0,49970.0,-1178.0,-2.357,Exit Trigger,6 days
340,HDFCBANK,Long Closed,2016-03-30,529.0,2016-10-27,619.5,94.0,49726.0,8507.0,17.108,Exit Trigger,211 days
341,HDFCBANK,Long Closed,2017-01-19,622.45,2017-11-20,914.5,80.0,49796.001,23364.0,46.919,Exit Trigger,305 days
342,HDFCBANK,Long Closed,2017-11-27,924.5,2018-03-01,939.65,54.0,49923.0,818.1,1.639,Exit Trigger,94 days
343,HDFCBANK,Long Closed,2018-04-16,960.0,2018-08-28,1044.0,52.0,49920.0,4368.0,8.75,Exit Trigger,134 days
344,HDFCBANK,Long Closed,2018-11-30,1065.0,2019-02-05,1054.0,46.0,48990.0,-506.0,-1.033,Exit Trigger,67 days
345,HDFCBANK,Long Closed,2019-03-13,1087.5,2019-07-25,1142.5,45.0,48937.5,2475.0,5.057,Exit Trigger,134 days
346,HDFCBANK,Long Closed,2019-09-25,1249.9,2020-01-27,1235.0,40.0,49996.001,-596.0,-1.192,Exit Trigger,124 days
347,HDFCBANK,Long Closed,2020-05-29,944.0,2020-08-20,1054.95,52.0,49088.0,5769.4,11.753,Exit Trigger,83 days
